project,donor,amount
Manejo de los recursos naturales y mejoramiento de la producción bovina y especies menores en el Municipio de Camiri – Santa Cruz (Bolivia),Diputación de Valencia,60000
"Fortalecimiento de la producción agroganadera de las Comunidades de  Aguarati, Pikirenda y Guandare (Bajo Isoso) Bolivia",Generalitat de Valencia,265420
Fortalecimiento a las Organizaciones campesinas de Chayanta,Ayuntamiento de Madrid,200000
Gestión Municipal Participativa en El Caine Cochabambino ,Agencia Española de Cooperación Internacional,451038
"Avanzando hacia el fortalecimiento del Sistema Público de Salud y su articulación con la medicina tradicional en la Provincia de Velasco, Departamento de Santa Cruz de la Sierra. Bolivia",Junta de Comunidades de Castilla La Mancha,220000
Fortalecimiento de la estrategia de apoyo al Sistema de Información Vigilancia Epidemiológica con énfasis en la mortalidad materna e infantil en las Redes de Salud nº11 y 12 del Altiplano Sur del Departamento de La Paz.,Gobierno de Navarra,25000
Gestión de políticas públicas para el ejercicio del Derecho Humano a la Alimentación Adecuada,Agencia Española de Cooperación Internacional,175000
"Educación para la Salud (EPS): Estrategia  de Educación, Información y Capacitación (IEC) y fortalecimiento de los Puestos de Información del Vector (PIVS) de la enfermedad de Chagas",Educación Sin Fronteras,1500
Educación integral y técnica para jóvenes y adultos de zonas rurales del Departamento de Tarija,Educación Sin Fronteras,18810
Proyecto Salud Integral en el Chaco Chuquisaqueño,Gobierno de Aragón,609660
Proyecto Salud Integral en el Chaco Chuquisaqueño VVG,Gobierno de Aragón,263600
Gestión Municipal Participativa en El Caine Cochabambino ,Agencia Española de Cooperación Internacional,158256
"Mejora de viviendas saludables en la comunidad de San Julián Bajo en la Provincia de Padilla, Departamento de Chuquisaca.",Ayuntamiento de Palma,45419
Mitigar el impacto de las inundaciones en la Comunidad de Bella Altura y restablecer su Acceso al Agua Potable y Saneamiento Básico,Gobierno de Aragón,4113
Fortalecimiento de capacidades locales para la preparación y prevención  frente a los riesgos de desastres naturales.,Unión Europea,389367
Rehabilitación y equipamiento del centro de salud de Piedras Blancas,Ayuntamiento de Aranjuez,13800
Proyecto salud Kallawaya,Gobierno de Aragón,162144
"Implementación y Consolidación del Modelo de Salud Intercultural, Familiar y Comunitario con Enfoque de Género en el Distrito de Salud Apolobamba",Diputación General de Aragón,231309
"Fortalecimiento de los procesos de gestión, información y comunicación en el sistema de salud del Municipio de Riberalta (Bolivia)",Ayuntamiento de Barcelona ,634645
"Consolidación y extensión del modelo de salud intercultural, familiar y comunitario con enfoque de género en el distrito de salud apolobamba",Gobierno de Aragón,310330
Un modelo integral e incluyente bajo un concepto de derecho a la salud,Unión Europea,1975000
Construcción Centro de Salud Obispo Bosque,Ayuntamiento de Girona,6850
Construcción Centro de Salud Obispo Bosque,Socios Particulares,4800
Compra e instalación de cámara frigorífica para el comedor del Hogar Teresa de los Andes,Socios Particulares,10000
Desarrollo de Capacidades y Fortalecimiento Institucional de la Mancomunidad Chuquisaca Centro,Diputación de Córdoba,28000
"Agua potable para las familias, niñas y niños de las unidades educativas de los municipios de Licoma, Cajuata e Inquisivi del Departamento de La Paz",Ayuntamiento de Bilbao,77075
Centro de Producción y Extensión Técnica,Agencia Andaluza de Cooperación Internacional al Desarrollo,300000
Centro de Recursos y Apoyo Psicopedagógico a Escuelas Rurales,Agencia Andaluza de Cooperación Internacional al Desarrollo,124120
Incorporación de los Adolescentes Internos en las Cárceles de Cochabamba a los Programas de Reinserción Social de Ayni Ruway,Agencia Andaluza de Cooperación Internacional al Desarrollo,278641
"Mejora del nivel educativo de la población Guaraní, especialmente mujeres y niñas",Agencia Andaluza de Cooperación Internacional al Desarrollo,227103
Programa de Apoyo Educativo para escuelas del Municipio de Okinawa,Agencia Andaluza de Cooperación Internacional al Desarrollo,271061
Promoción de los Derechos de los Indígenas de Bolivia a Través de la Gestión Concertada del Agua de la Cuenca Mauri – Desaguadero,Agencia Andaluza de Cooperación Internacional al Desarrollo,219495
Fortalecimiento de la Participación social y de la estructura productiva,Agencia Andaluza de Cooperación Internacional al Desarrollo,125048
Educación integral y técnica para jóvenes y adultos de zonas rurales del Departamento de Tarija,Agencia Andaluza de Cooperación Internacional al Desarrollo,235990
"Información, prevención, detección y tratamiento de la leishmaniasis en el municipio de Palos Blancos",Ayuda en Acción,47759
"Reactivación de la economía familiar en 21 comunidades afectadas por el aislamiento vial consecuencia de las inundaciones en las parroquias de Facundo, Vela, Salinas y San Luis de Pambil en Bolivar. Dpt. Cbba.",Agencia Española de Cooperación Internacional,207663
Fortalecimiento del Pueblo Guaraní para la implementación de las Autonomías Indígenas. ,Agencia Española de Cooperación Internacional,340426
Las Casas del Saber: una experiencia educativa dirigida a los niños y jóvenes campesinos de los Municipios más pobres de Bolivia,Generalitat de Valencia,358201
Educación para el trabajo en escuelas rurales del nivel secundario,Junta de Castilla y León,205100
Educación básica por radio en cinco municipios del Depto. De Potosi ,Junta de Comunidades de Castilla La Mancha,201094
"Contribuir al mejoramiento del medioambiente a través de acciones que promueven el uso adecuado de la basura orgánica en 4 barrios del municipio de Riberalta, Bolivia. Segunda Fase",Ayuntamiento de San Cugat,12820
Consolidación del Observatorio de Derechos Humanos y Centro de Recursos de Información,Agencia Española de Cooperación Internacional,73599
"Contribución a la generación de condiciones para el ejercicio ciudadano, equidad de género y seguridad jurídica sobre la propiedad agraria de comunidades indígenas,  en los 5 municipios de la Mancomunidad de la Región Andina.",Ayuntamiento de Madrid,220000
Capacitación y difusión para la consolidación del proceso de cambio,Diputación de Cádiz,6000
Construyendo la Viabilidad de Políticas Públicas del derecho a la alimentación a través de Alianzas y Acuerdos en Marco de la Soberanía y Seguridad alimentaria Nutricional en Bolivia,Oxfam Internacional,10000
Mejora del medio ambiente a través de la recolección y del relleno sanitario de los residuos sólidos urbanos en el Municipio Porco,Ayuntamiento de Murcia,9795
Fortalecimiento de la Cadena Fruticola en la Mancomunidad de Municipios de los Valles Cruceños,Agencia Andaluza de Cooperación Internacional al Desarrollo,300000
Fortalecimiento de la Cadena Fruticola en la Mancomunidad de Municipios de los Valles Cruceños,Diputación de Córdoba,38095
Fortalecimiento de la Cadena Fruticola en la Mancomunidad de Municipios de los Valles Cruceños,"Beneficiarios, Socios, Comunidades, etc",67202
Fortalecimiento de la Cadena Fruticola en la Mancomunidad de Municipios de los Valles Cruceños,Fundación para el Desarrollo Frutícola,42828
Fortalecimiento de la Cadena Fruticola en la Mancomunidad de Municipios de los Valles Cruceños,Centro de Iniciativas para la Cooperación Batá,23879
"Apoyo al fortalecimiento de emprendimientos locales y la generación de empleo de sectores no agropecuarios (gastronomía típica, artesanía, micro industria, transformación y turismo) en el área urbana y rural de la provincia Vallegrande",Agencia Andaluza de Cooperación Internacional al Desarrollo,300000
"Apoyo al fortalecimiento de emprendimientos locales y la generación de empleo de sectores no agropecuarios (gastronomía típica, artesanía, micro industria, transformación y turismo) en el área urbana y rural de la provincia Vallegrande",Fundación para el Desarrollo Frutícola,36621
"Apoyo al fortalecimiento de emprendimientos locales y la generación de empleo de sectores no agropecuarios (gastronomía típica, artesanía, micro industria, transformación y turismo) en el área urbana y rural de la provincia Vallegrande","Beneficiarios, Socios, Comunidades, etc",50795
"Apoyo al fortalecimiento de emprendimientos locales y la generación de empleo de sectores no agropecuarios (gastronomía típica, artesanía, micro industria, transformación y turismo) en el área urbana y rural de la provincia Vallegrande","Beneficiarios, Socios, Comunidades, etc",15962
"Apoyo al fortalecimiento de emprendimientos locales y la generación de empleo de sectores no agropecuarios (gastronomía típica, artesanía, micro industria, transformación y turismo) en el área urbana y rural de la provincia Vallegrande","Beneficiarios, Socios, Comunidades, etc",4678
"Apoyo al fortalecimiento de emprendimientos locales y la generación de empleo de sectores no agropecuarios (gastronomía típica, artesanía, micro industria, transformación y turismo) en el área urbana y rural de la provincia Vallegrande",Centro de Iniciativas para la Cooperación Batá,21500
Implementación de una estrategia regional para la reducción de los riesgos climáticos y daños que afectan a la producción de los fruticultores en tres municipios de la provincia de Vallegrande,Centro de Iniciativas para la Cooperación Batá,3000
Implementación de una estrategia regional para la reducción de los riesgos climáticos y daños que afectan a la producción de los fruticultores en tres municipios de la provincia de Vallegrande,Diputación de Sevilla,20000
Implementación de una estrategia regional para la reducción de los riesgos climáticos y daños que afectan a la producción de los fruticultores en tres municipios de la provincia de Vallegrande,Fundación para el Desarrollo Frutícola,4609
Apoyo al Fortalecimiento Integral del Desarrollo Económico Local en el área urbana y rural de la provincia Vallegrande,Diputación de Sevilla,17998
Apoyo al Fortalecimiento Integral del Desarrollo Económico Local en el área urbana y rural de la provincia Vallegrande,Centro de Iniciativas para la Cooperación Batá,2150
Apoyo al Fortalecimiento Integral del Desarrollo Económico Local en el área urbana y rural de la provincia Vallegrande,Fundación para el Desarrollo Frutícola,11362
Fortalecimiento de las organizaciones y los recursos humanos de los actores de la cadena frutícola y diversificación de la producción convencional con integrada y ecológica,Fundación para el Desarrollo Frutícola,70183
Fortalecimiento de las organizaciones y los recursos humanos de los actores de la cadena frutícola y diversificación de la producción convencional con integrada y ecológica,Agencia Andaluza de Cooperación Internacional al Desarrollo,299893
Fortalecimiento de las organizaciones y los recursos humanos de los actores de la cadena frutícola y diversificación de la producción convencional con integrada y ecológica,Centro de Iniciativas para la Cooperación Batá,22340
Fortalecimiento de las organizaciones y los recursos humanos de los actores de la cadena frutícola y diversificación de la producción convencional con integrada y ecológica,"Beneficiarios, Socios, Comunidades, etc",13935
Fortalecimiento de las organizaciones y los recursos humanos de los actores de la cadena frutícola y diversificación de la producción convencional con integrada y ecológica,"Beneficiarios, Socios, Comunidades, etc",35256
Apoyo a la aplicación de Buenas Prácticas Agrícolas y diversificación de producción frutícola,Centro de Iniciativas para la Cooperación Batá,10600
Apoyo a la aplicación de Buenas Prácticas Agrícolas y diversificación de producción frutícola,Fundación para el Desarrollo Frutícola,8803
Apoyo a la aplicación de Buenas Prácticas Agrícolas y diversificación de producción frutícola,"Beneficiarios, Socios, Comunidades, etc",1001
Apoyo a la aplicación de Buenas Prácticas Agrícolas y diversificación de producción frutícola,Fundación Caja Sol,71790
Mejora de la educación alternativa rural para fortalecer la soberanía alimentaria de comunidades campesinas donde presta sus servicios educativos los CETHAs: Chulumani (Region Yungueña) y CETHA Caracollo (Region del Altiplano).,"Beneficiarios, Socios, Comunidades, etc",2100
Mejora de la educación alternativa rural para fortalecer la soberanía alimentaria de comunidades campesinas donde presta sus servicios educativos los CETHAs: Chulumani (Region Yungueña) y CETHA Caracollo (Region del Altiplano).,Caja de Granada,20000
Mejora de la educación alternativa rural para fortalecer la soberanía alimentaria de comunidades campesinas donde presta sus servicios educativos los CETHAs: Chulumani (Region Yungueña) y CETHA Caracollo (Region del Altiplano).,Red Feria,2525
Mejora de la educación alternativa rural para fortalecer la soberanía alimentaria de comunidades campesinas donde presta sus servicios educativos los CETHAs: Chulumani (Region Yungueña) y CETHA Caracollo (Region del Altiplano).,Centro de Iniciativas para la Cooperación Batá,1200
Fortalecidos 194 emprendimientos no agropecuarios rurales y urbanos en los Valles Cruceños de Bolivia bajo el modelo del desarrollo económico local,Agencia Andaluza de Cooperación Internacional al Desarrollo,299980
Fortalecidos 194 emprendimientos no agropecuarios rurales y urbanos en los Valles Cruceños de Bolivia bajo el modelo del desarrollo económico local,Centro de Iniciativas para la Cooperación Batá,22400
Fortalecidos 194 emprendimientos no agropecuarios rurales y urbanos en los Valles Cruceños de Bolivia bajo el modelo del desarrollo económico local,Fundación para el Desarrollo Frutícola,35272
Fortalecidos 194 emprendimientos no agropecuarios rurales y urbanos en los Valles Cruceños de Bolivia bajo el modelo del desarrollo económico local,"Beneficiarios, Socios, Comunidades, etc",29151
Fortalecidos 194 emprendimientos no agropecuarios rurales y urbanos en los Valles Cruceños de Bolivia bajo el modelo del desarrollo económico local,"Beneficiarios, Socios, Comunidades, etc",1056
Fortalecidos 194 emprendimientos no agropecuarios rurales y urbanos en los Valles Cruceños de Bolivia bajo el modelo del desarrollo económico local,"Beneficiarios, Socios, Comunidades, etc",14553
Migración y desarrollo y fortalecimiento de capacidades para el desarrollo social y productivo en Bolivia y Ecuador,Agencia Española de Cooperación Internacional,4300000
"Fortalecimiento de la producción agroganadera de las Comunidades de  Aguarati, Pikirenda y Guandare (Bajo Isoso) Bolivia",Capitania del Alto y Bajo Izozog,46000
"Fortalecimiento de la producción agroganadera de las Comunidades de  Aguarati, Pikirenda y Guandare (Bajo Isoso) Bolivia","Beneficiarios, Socios, Comunidades, etc",76000
"Producción agroganadera sostenible, con equidad de género en la comunidad indígena guaraní de Rancho Viejo, Bajo Isoso-Santa Cruz (Bolivia)",Generalitat de Valencia,345157
"Producción agroganadera sostenible, con equidad de género en la comunidad indígena guaraní de Rancho Viejo, Bajo Isoso-Santa Cruz (Bolivia)",Centro de Estudios Rurales y de Agricultura Internacional,6000
"Producción agroganadera sostenible, con equidad de género en la comunidad indígena guaraní de Rancho Viejo, Bajo Isoso-Santa Cruz (Bolivia)","Beneficiarios, Socios, Comunidades, etc",136000
"Fortalecimiento de la producción agropecuaria sostenible a nivel familiar en las comunidades guaranís de Aguaraigua, Paraboca y Miniyuqui (Bajo Isoso) (BOLIVIA)",Centro de Estudios Rurales y de Agricultura Internacional,6333
"Fortalecimiento de la producción agropecuaria sostenible a nivel familiar en las comunidades guaranís de Aguaraigua, Paraboca y Miniyuqui (Bajo Isoso) (BOLIVIA)","Beneficiarios, Socios, Comunidades, etc",97915
Fortalecimiento de las capacidades productivas para la generación de valor añadido y de la concertación e incidencia política de las familias y organizaciones económicas campesinas de Torotoro para su seguridad alimentaria y  Desarrollo Local,"Beneficiarios, Socios, Comunidades, etc",27012
Fortalecer el sistema productivo-organizativo para garantizar el ejercicio de los derechos de productoras/res indígenas del municipio de Calamarca-Bolivia,Centro de Investigación y Promoción del Campesinado,23601
Fortalecer el sistema productivo-organizativo para garantizar el ejercicio de los derechos de productoras/res indígenas del municipio de Calamarca-Bolivia,Municipio de Calamarca,7796
Mujeres Aymaras en las Nuevas Tecnologías,Ayuntamiento de Parafrugell,15723
Mujeres Aymaras en las Nuevas Tecnologías,Centro de Desarrollo Integral de la Mujer Aymara,6566
Mujeres Aymaras en las Nuevas Tecnologías, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,2000
"Fortalecimiento de la sociedad civil para la exigibilidad de los Derechos Económicos, Sociales Culturales y Ambientales (DESCA) y la gestión sostenible de los recursos naturales en Bolivia y Perú  ", Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,103500
Saneamiento básico y desarrollo económico local en comunidades quechua del municipio El Choro,Ayuntamiento de San Martín de la Vega,3013
Saneamiento básico y desarrollo económico local en comunidades quechua del municipio El Choro,Ayuntamiento de Madrid,229452
Fortalecimiento de la participación política de las mujeres indígenas-campesinas en el desarrollo local de tres municipios quechuas de Bolivia.,Centro de Desarrollo Comunal y Municipal,83685
Fortalecimiento de la participación política de las mujeres indígenas-campesinas en el desarrollo local de tres municipios quechuas de Bolivia.,Diputación de Barcelona,138642
Noticiero Intercultural: Herramientas de Comunicación Audiovisual para la participación Ciudadana y el Diálogo Intercultural,Casa Juvenil de las Culturas - Wayna Tambo,5042
Impulso a procesos de cambio social en Bolivia: Fortalecimiento del protagonismo social y político de organizaciones de inmigrantes indígenas del área suburbana de Cochabamba – Bolivia,Centro de Documentación e Información,69397
Empoderamiento Político y Económico de las Comunidades Campesinas de los Valles Cruceños,"Beneficiarios, Socios, Comunidades, etc",489000
Fortalecimiento de las organizaciones forestales comunitarias en las comunidades indígenas chiquitanas de la tco - monte verde,"Beneficiarios, Socios, Comunidades, etc",8332
"Fortalecimiento de la producción agropecuaria sostenible a nivel familiar en las comunidades guaranís de Aguaraigua, Paraboca y Miniyuqui (Bajo Isoso) (BOLIVIA)",Capitania del Alto y Bajo Izozog,69928
Soberanía alimentaria y participación campesina en la Central Agraria Lambate, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,23759
Informativos Ciudades Interculturales: medios de comunicación contra la discriminación y el racismo en Bolivia,Agencia Española de Cooperación Internacional,231052
Fortalecimiento a Organizaciones de Mujeres y Hombres Jóvenes Líderes Indígenas en la Chiquitanía (Fase II),Ayuntamiento de Leioa,14998
Fortalecimiento a Organizaciones de Mujeres y Hombres Jóvenes Líderes Indígenas en la Chiquitanía (Fase II),"Beneficiarios, Socios, Comunidades, etc",8947
Fortalecimiento de los emprendimientos Económicos de las Mujeres de Bolivia y Perú,Solidaridad Internacional,196822
"Fortalecimiento de la red de comercialización de productos agropecuarios en la provincia de Cordillera (Santa Cruz, Bolivia) ",Centro de Estudios Rurales y de Agricultura Internacional,6000
"Fortalecimiento de la red de comercialización de productos agropecuarios en la provincia de Cordillera (Santa Cruz, Bolivia) ",Capitania del Alto y Bajo Izozog,11167
"Fortalecimiento de la red de comercialización de productos agropecuarios en la provincia de Cordillera (Santa Cruz, Bolivia) ","Beneficiarios, Socios, Comunidades, etc",75711
Fortalecimiento de las capacidades productivas para la generación de valor añadido y de la concertación e incidencia política de las familias y organizaciones económicas campesinas de Torotoro para su seguridad alimentaria y  Desarrollo Local,Municipio de ToroToro,13243
Fortalecer el sistema productivo-organizativo para garantizar el ejercicio de los derechos de productoras/res indígenas del municipio de Calamarca-Bolivia,Centro de Estudios Rurales y de Agricultura Internacional,17525
Fortalecer el sistema productivo-organizativo para garantizar el ejercicio de los derechos de productoras/res indígenas del municipio de Calamarca-Bolivia,"Beneficiarios, Socios, Comunidades, etc",82039
"Fortalecimiento de la sociedad civil para la exigibilidad de los Derechos Económicos, Sociales Culturales y Ambientales (DESCA) y la gestión sostenible de los recursos naturales en Bolivia y Perú  ",Centro de Documentación e Información,110056
"Fortalecimiento de la sociedad civil para la exigibilidad de los Derechos Económicos, Sociales Culturales y Ambientales (DESCA) y la gestión sostenible de los recursos naturales en Bolivia y Perú  ",Agua Sustentable,77950
Saneamiento básico y desarrollo económico local en comunidades quechua del municipio El Choro, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,21081
Saneamiento básico y desarrollo económico local en comunidades quechua del municipio El Choro,Ayuntamiento de Yecla,4459
Saneamiento básico y desarrollo económico local en comunidades quechua del municipio El Choro,Universidad Politécnica de Madrid,20010
Fortalecimiento de las capacidades en género de la organización local CEDESCO - Bolivia,Centro de Desarrollo Comunal y Municipal,636
Fortalecimiento de las capacidades de la sociedad civil para la gestión social del agua en las zonas periurbanas del sur de Cochabamba – Bolivia,Mancomunidad de Municipios del Área Municipal de Barcelona,13685
Fortalecimiento de las capacidades de la sociedad civil para la gestión social del agua en las zonas periurbanas del sur de Cochabamba – Bolivia,Diputación de Ciudad Real,15093
Fortalecimiento de las capacidades de la sociedad civil para la gestión social del agua en las zonas periurbanas del sur de Cochabamba – Bolivia, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,11001
Fortalecimiento al ejercicio de la ciudadanía de mujeres de zonas periurbanas y rurales de Bolivia, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,54750
Desarrollo Integral Agropecuario de Comunidades Indígenas con Enfoque de Género,Diputación Foral de Bizkaia,520000
Desarrollo Integral Agropecuario de Comunidades Indígenas con Enfoque de Género,Asociación Civil AYNI,158000
Empoderamiento Político y Económico de las Comunidades Campesinas de los Valles Cruceños,Agencia Vasca de Cooperación al Desarrollo,1200000
Fortalecimiento de las organizaciones forestales comunitarias en las comunidades indígenas chiquitanas de la tco - monte verde,Ayuntamiento de Getxo,29900
Los Derechos Sexuales y los Derechos Reproductivos (DSDR) en los Estatutos Autonómicos Departamentales (EAD) y Cartas Autonómicas Municipales (COM) de Bolivia.,Instituto de la Mujer,54600
Fortalecimiento de las capacidades productivas para la generación de valor añadido y de la concertación e incidencia política de las familias y organizaciones económicas campesinas de Torotoro para su seguridad alimentaria y  Desarrollo Local,Centro de Estudios Rurales y de Agricultura Internacional,3500
Fortalecimiento de las capacidades productivas para la generación de valor añadido y de la concertación e incidencia política de las familias y organizaciones económicas campesinas de Torotoro para su seguridad alimentaria y  Desarrollo Local,Centro de Investigación y Promoción del Campesinado,12800
Mujeres Aymaras en las Nuevas Tecnologías,Ayuntamiento de Badalona,29193
Mujeres Aymaras en las Nuevas Tecnologías,Ayuntamiento de Santander,10000
Saneamiento básico y desarrollo económico local en comunidades quechua del municipio El Choro,Apoyo al Desarrollo Sostenible Interandino (Regional Cochabamba),17506
Saneamiento básico y desarrollo económico local en comunidades quechua del municipio El Choro,"Beneficiarios, Socios, Comunidades, etc",60435
"Fortalecimiento Político y de Gestión a mujeres de organizaciones sociales para la democratización de sus organizaciones, la inclusión de la agenda de género y el ejercicio de control y vigilancia social a partir de la perspectiva de género",Instituto de la Mujer,27000
"Fortalecimiento Político y de Gestión a mujeres de organizaciones sociales para la democratización de sus organizaciones, la inclusión de la agenda de género y el ejercicio de control y vigilancia social a partir de la perspectiva de género",Instituto de la Mujer,35224
"Fortalecimiento Político y de Gestión a mujeres de organizaciones sociales para la democratización de sus organizaciones, la inclusión de la agenda de género y el ejercicio de control y vigilancia social a partir de la perspectiva de género",Instituto de la Mujer,55809
"Fortalecimiento Político y de Gestión a mujeres de organizaciones sociales para la democratización de sus organizaciones, la inclusión de la agenda de género y el ejercicio de control y vigilancia social a partir de la perspectiva de género",Centro de Promoción Gregoria Apaza,7045
"Fortalecimiento Político y de Gestión a mujeres de organizaciones sociales para la democratización de sus organizaciones, la inclusión de la agenda de género y el ejercicio de control y vigilancia social a partir de la perspectiva de género",Centro de Promoción Gregoria Apaza,16251
Noticiero Intercultural: Herramientas de Comunicación Audiovisual para la participación Ciudadana y el Diálogo Intercultural,Agencia Española de Cooperación Internacional,150360
Noticiero Intercultural: Herramientas de Comunicación Audiovisual para la participación Ciudadana y el Diálogo Intercultural,Centro de Documentación e Información,4768
Noticiero Intercultural: Herramientas de Comunicación Audiovisual para la participación Ciudadana y el Diálogo Intercultural, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,17634
Fortalecimiento de las capacidades de la sociedad civil para la gestión social del agua en las zonas periurbanas del sur de Cochabamba – Bolivia,Junta de Comunidades de Castilla La Mancha,286960
Fortalecimiento de las capacidades de la sociedad civil para la gestión social del agua en las zonas periurbanas del sur de Cochabamba – Bolivia,"Beneficiarios, Socios, Comunidades, etc",3409
Soberanía alimentaria y participación campesina en la Central Agraria Lambate,Agencia Asturiana de Cooperación,198651
Soberanía alimentaria y participación campesina en la Central Agraria Lambate,"Beneficiarios, Socios, Comunidades, etc",10384
"Fortalecimiento institucional y formación de personas adultas para una gestión sostenible de los recursos naturales y del desarrollo humano en la provincia de Ayopaya, Bolivia",Centro de Comunicación y Desarrollo Andino,22978
"Fortalecimiento institucional y formación de personas adultas para una gestión sostenible de los recursos naturales y del desarrollo humano en la provincia de Ayopaya, Bolivia","Beneficiarios, Socios, Comunidades, etc",24752
Informativos Ciudades Interculturales: medios de comunicación contra la discriminación y el racismo en Bolivia,Centro de Documentación e Información,55627
Informativos Ciudades Interculturales: medios de comunicación contra la discriminación y el racismo en Bolivia, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,3000
Avanzando hacia la Equidad en los espacios políticos y sociales de Santra Cruz (Bolivia). Fase II ,Agencia Española de Cooperación Internacional,255500
Mujeres en Acción (Fase IV),Agencia Vasca de Cooperación al Desarrollo,461000
Mujeres en Acción (Fase IV),"Beneficiarios, Socios, Comunidades, etc",150000
Ayuda Humanitaria a la Población Guaraní desplazada en Bolivia,Agencia Vasca de Cooperación al Desarrollo,159000
"Mujeres jóvenes y adolescentes reconocen, ejercen y difunden sus derechos sexuales y reproductivos en el altiplano Boliviano",Agencia Española de Cooperación Internacional,70367
"Mujeres jóvenes y adolescentes reconocen, ejercen y difunden sus derechos sexuales y reproductivos en el altiplano Boliviano",Asociación Médica Privada Voluntaria Wiñay,900
Fortalecimiento de las capacidades en género de la organización local CEDESCO - Bolivia,Ayuntamiento de Girona,3479
Fortalecimiento de la participación política de las mujeres indígenas-campesinas en el desarrollo local de tres municipios quechuas de Bolivia., Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,13273
Fortalecimiento de las capacidades de la sociedad civil para la gestión social del agua en las zonas periurbanas del sur de Cochabamba – Bolivia,Agua Sustentable,24502
Avanzando hacia la Equidad en los espacios políticos y sociales de Santra Cruz (Bolivia). Fase II ,Proceso Servicios Educativos,112077
Ayuda Humanitaria a la Población Guaraní desplazada en Bolivia,"Beneficiarios, Socios, Comunidades, etc",70000
Fortalecimiento a Organizaciones de Mujeres y Hombres Jóvenes Líderes Indígenas en la Chiquitanía (Fase II),"Beneficiarios, Socios, Comunidades, etc",4400
Fortalecimiento a Organizaciones de Mujeres y Hombres Jóvenes Líderes Indígenas en la Chiquitanía (Fase II),Ayuntamiento de Sestao,12118
Modelo Campesino de Adaptación al Cambio Ciclo-Hidrológico,Agencia Vasca de Cooperación al Desarrollo,600000
Modelo Campesino de Adaptación al Cambio Ciclo-Hidrológico,"Beneficiarios, Socios, Comunidades, etc",221541
Convenio para el empoderamiento de la mujer en Perú y Bolivia,Solidaridad Internacional,81500
"Mujeres jóvenes y adolescentes reconocen, ejercen y difunden sus derechos sexuales y reproductivos en el altiplano Boliviano",Agencia Vasca de Cooperación al Desarrollo,305253
"Mujeres jóvenes y adolescentes reconocen, ejercen y difunden sus derechos sexuales y reproductivos en el altiplano Boliviano","Mujeres Campesinas Indígenas Originarias ""Bartolina Sisa""",900
"Mujeres jóvenes y adolescentes reconocen, ejercen y difunden sus derechos sexuales y reproductivos en el altiplano Boliviano",Centro de Promoción Gregoria Apaza,12640
Construcción Escuela Tacara,CDC CAUSANANCHISPAJ,36784
Migración y desarrollo y fortalecimiento de capacidades para el desarrollo social y productivo en Bolivia y Ecuador,Cáritas,700000
Agora Bolivia-Capacitación e inserción laboral para personas ciegas,Cáritas,64752
Agora Bolivia-Capacitación e inserción laboral para personas ciegas,Pastoral Social Caritas,48932
Sostenibilidad de la Pastoral Penitenciaria en Bolivia II,Cáritas,145400
Seguridad Alimentaria en el área rural de Puna y Ckochas del departamento de Potosí,Comunidad de Madrid,200901
Seguridad Alimentaria en el área rural de Puna y Ckochas del departamento de Potosí,Pastoral Social Caritas,48374
Seguridad Alimentaria en el área rural de Puna y Ckochas del departamento de Potosí,Cáritas,24829
Consolidando el desarrollo económico de los productores de la provincia de OConor (Tarija),Cáritas,281116
Mejorando los sistemas productivos locales en comuniddes de los municipios de el Choro y Huayllamarca.,Gobierno de Aragón,99481
Mejorando los sistemas productivos locales en comuniddes de los municipios de el Choro y Huayllamarca.,Pastoral Social Caritas,28022
Mejorando los sistemas productivos locales en comuniddes de los municipios de el Choro y Huayllamarca.,Cáritas,23771
Plan de prevención en comunidades del norteamazónico boliviano,Agencia Española de Cooperación Internacional,310395
Plan de prevención en comunidades del norteamazónico boliviano,Cáritas,41225
Plan de prevención en comunidades del norteamazónico boliviano,Pastoral Social Caritas,33000
Plan de prevención de desastres y rehabilitación agropecuaria en la amazonía boliviana,Agencia Española de Cooperación Internacional,275598
Plan de prevención de desastres y rehabilitación agropecuaria en la amazonía boliviana,Cáritas,20000
Plan de prevención de desastres y rehabilitación agropecuaria en la amazonía boliviana,Pastoral Social Caritas,42855
Dignidad y calidad Educativa para los más desfavorecidos,"Beneficiarios, Socios, Comunidades, etc",73000
"Escuela, familia y comunidad, por la mejora de la calidad educativa en Potosí",Agencia Andaluza de Cooperación Internacional al Desarrollo,275864
"Escuela, familia y comunidad, por la mejora de la calidad educativa en Potosí",Centro Boliviano de Investigación y Acción Educativas,69744
"Escuela, familia y comunidad, por la mejora de la calidad educativa en Potosí",Educación Sin Fronteras,6200
