name,description,start_date,end_date,date_provided,date_updated,sector,organization,regions
Convenio para la mejora de la Enseñanza Primaria Universal ...,"Convenio para la mejora de la enseñanza primaria universal en América Latina, dirigido a los niños y niñas más vulnerables y desfavorecidos de los países prioritarios y de atención especial de la C.E., mediante el fortalecimiento de los sistemas públicos de educación, apoyo a la comunidad escolar, mejora de la formación y condición del profesorado y personal educativo, introducción de las nuevas tecnologías de la comunicación en información, implantación de sistemas evaluativos con el objeto de corregir las diferencias en el acceso y calidad en función del sexo u origen socioeconómico, cultural, lingüístico y ético de las personas. Regional.",2006-01-01,2006-12-31,2012-03-21,,Educación,Entreculturas,Santa Cruz|Cochabamba|Potosí
Mejora de la calidad educativa para la inserción social de poblaciones vulnerables en America Latina ,,2010-01-01,2010-12-31,2012-03-21,,Educación,Entreculturas,Bolivia
"Fortalecimiento de capacidades humanas e institucionales de las poblaciones indígenas guaraníes y de afrodescendiente, altamente vulnerables a situaciones de violación de derechos humanos y violencia de género. Regional","Fortalecimiento de capacidades humanas e institucionales de las poblaciones indígenas guaraníes y de afrodescendiente, altamente vulnerables a situaciones de violación de derechos humanos y violencia de género, en Paraguay, Bolivia, Colombia y Ecuador, con posibles acciones en otros países de la zona",2010-01-01,2010-12-31,2012-03-21,,Gobernabilidad Democrática,Instituto de Estudios Politicos para America Latina y Africa,Bolivia
"Educación básica gratuita, de calidad e inclusiva para niños, niñas, jóvenes y adultos, especialmente niñas y mujeres indígenas y de zonas rurales, de Bolivia",,2010-01-01,2010-12-31,2012-03-21,,Educación,Fundacion Intered,Chuquisaca|Cochabamba
"Mejora de las condiciones de vida reduciendo los riesgos ambientales en zonas rurales vulnerables por su dependencia de los recursos naturales en zonas ecológicamente sensibles.  Bolivia, Perú, Ecuador. ",,2007-01-01,2007-12-31,2012-03-21,,Sostenibilidad Ambiental,Instituto para la promoción y ayuda al desarrollo,Santa Cruz|Potosí|Chuquisaca
Fortalecimiento de organizaciones de trabajadores promoviendo la formación sindical y facilitando su intervención en el mercado de trabajo y en los procesos de codesarrollo. (América Latina / Varios Países),"Fortalecimiento de organizaciones de trabajadores promoviendo la formación sindical y facilitando su intervención en el mercado de trabajo y en los procesos de codesarro. Al menos el 30% del convenio se destinará a políticas laborales  de equidad de género. Argentina, Uruguay, Paraguay, Brasil, Chile, Venezuela, Bolivia, Perú, Ecuador, Colombia, El Salvador, Nicaragua, Guatemala, Panamá, Costa Rica, Honduras y República Dominicana.",2007-01-01,2007-12-31,2012-03-21,,Gobernabilidad Democrática,Instituto Sindical de Cooperación al Desarrollo ISCOD-UGT Bolivia,Cochabamba|La Paz
Mejora de la calidad de vida de las familias indígenas y campesinas rurales pobres a través de la incidencia política para el acceso equitativo y sostenible de los recursos naturales,"Convenio para la mejora de la calidad de vida de las familias indígenas y campesinas rurales pobres a través de la incidencia política nacional y local para el acceso equitativo y sostenible de los recursos naturales así como el aumento de los ingresos y acceso a alimentos mediante la mejora de la producción y acceso a mercado en los departamentos de Santa Cruz, Tarija, Pando y Beni. Bolivia. 4 años.",2007-01-01,2010-12-31,2012-03-23,,Desarrollo Rural y Hambre,Intermón Oxfam,Tarija|Santa Cruz
Mejora del acceso a los servicios de salud mediante el fortalecimiento de los sistemas públicos de atención primaria,"Mejora del acceso a los servicios de salud mediante el fortalecimiento de los sistemas públicos de atención primaria, bajo los principios de acceso universal, equidad y sostenibilidad, con el objetivo de mejorar la salud sexual y reproductiva y reducir la mortalidad materna, mejorar la salud infantil y revertir la incidencia de enfermedades prevalentes y olvidadas en países prioritarios como
Bolivia, Perú, Ecuador y Paraguay
",2007-01-01,2010-12-31,2012-03-23,2012-03-23,Salud,Medicos del Mundo,La Paz
"Mejora de la salud de las poblaciones, en especial de las de mayor pobreza y vulnerabilidad","Mejora de la salud de las poblaciones, en especial de las de mayor pobreza y vulnerabilidad, fomentando el desarrollo humano sostenible, el fortalecimiento y desarrollo de la esfera cultural, la institucionalidad, las políticas públicas inclusivas y la articulación del tejido social y cultural, en Bolivia, Ecuador y Perú",2010-01-01,2013-12-31,2012-03-23,2012-03-23,Salud,Medicos del Mundo,La Paz
"Lucha Contra la violencia de género y salud sexual reproductiva, a través de la aplicaciión efectiva de la spolíticas públicas, el fortalecimiento de redes regionales específicas y la vigilancia ciudadana,en Bolivia, ecuador y perú.","Lucha Contra la violencia de género y salud sexual reproductiva, a través de la aplicación efectiva de las políticas públicas, el fortalecimiento de redes regionales específicas y la vigilancia ciudadana en Bolivia, Ecuador y Perú.
",2011-01-01,2013-12-31,2012-03-23,2012-06-29,Género en Desarrollo,Solidaridad Internacional,Bolívar|Tapacarí|Cochabamba|Chulumani|El Alto|Pucarani|Apolo|Viacha|La Paz|Tacopaya|Arque|Quillacollo
Apoyo y la promoción de la producción campesina familiar y comunitaria en Bolivia,,2010-09-16,2014-09-15,2012-03-23,2012-10-08,Desarrollo Rural y Hambre,Veterinarios Sin Fronteras - VETERMON,Oruro|La Paz|Potosí
Educación y Territorio para construir un País Plurinacional,"El proyecto focalizará su acción en promover una educación pertinente y de calidad para la niñez y juventud de dos pueblos indígenas (Aymara y Uru), desde la visión de desarrollo y proyección política de los mismos actores indígenas",2009-12-28,2011-03-27,2012-04-12,2012-10-08,Gobernabilidad Democrática,Educación Sin Fronteras,Jesús de Machaca|Challapata|Toledo|San Andres de Machaca|Poopó|Huari
Territorio y Educación para construir un Estado Plurinacional. FASE II.,"El proyecto focaliza su acción en promover una educación pertinente y de calidad para la niñez y juventud de dos pueblos indígenas (Aymara y Uru), desde la visión de desarrollo y proyección política de los mismos actores indígenas.",2011-03-01,2012-05-29,2012-04-12,2012-10-08,Gobernabilidad Democrática,Educación Sin Fronteras,Toledo|Poopó|Huari|Challapata|San Andres de Machaca|Jesús de Machaca
Educación contextualizada de los pueblos indígenas Aymara y Urus,"En el marco de la promoción de los derechos de los pueblos indígenas a mantener sus identidades, lenguas y modos de vida particulares y  el derecho a una educación de calidad, se ha diseñado una propuesta para que las comunidades de intervención cuenten con estrategias educativas pertinentes en los niveles inicial, primario y secundario , respondiendo a su diversidad de vida, cultural y territorio, respetando el enfoque
de género, de derechos y mediambiental",2012-02-28,2014-02-27,2012-04-12,2012-10-08,Gobernabilidad Democrática,Educación Sin Fronteras,Jesús de Machaca|Toledo|San Andres de Machaca|Poopó|Huari|Challapata
"Escuela, familia y comunidad, por la mejora de la calidad educativa en Potosí","El proyecto se desarrolla en 10 escuelas de la zona urbana de la ciudad de Potosí, caracterizadas por bajos niveles escolares y altas tasas de abandono escolar. El proyecto apunta a transformar la gestión pedagógica como clave para la mejora del rendimiento escolar, a través de prácticas innovadoras en la enseñanza y uso de las nuevas tecnologías.",2012-05-01,2014-05-31,2012-04-12,2012-10-08,Educación,Educación Sin Fronteras,Potosí
Proyectos de Agua y Saneamiento Toromonas,,2007-01-01,2007-12-31,2012-04-13,,Agua y Saneamiento,Medicus Mundi,La Paz
Agua potable y saneamiento básico para comunidades campesinas de los municipios de Reyes y Rurrenabaque,,2006-01-01,2009-12-31,2012-04-13,2012-04-13,Agua y Saneamiento,Medicus Mundi,Reyes|Rurrenabaque
Desarrollo Integral Participativo en Sud Lípez,,2005-01-01,2007-12-31,2012-04-13,,Salud,Medicus Mundi,San Pablo|Mojinete
Proyecto Salud Integral en el Chaco Chuquisaqueño,,2008-01-01,2011-12-31,2012-04-13,,Salud,Medicus Mundi,Huacaya|Macharetí
Proyecto Salud Integral en el Chaco Chuquisaqueño VVG,,2011-01-01,2012-12-31,2012-04-13,,Salud,Medicus Mundi,Villa Vaca Guzmán
Gestión Municipal Participativa en El Caine Cochabambino ,,2006-01-01,2011-12-31,2012-04-13,2012-04-13,Gobernabilidad Democrática,Medicus Mundi,Sacaba|Anzaldo
"Mejora de viviendas saludables en la comunidad de San Julián Bajo en la Provincia de Padilla, Departamento de Chuquisaca.",,2008-01-01,2009-12-31,2012-04-13,,Salud,Medicus Mundi,Azurduy
"Reforma del Ala de Varones, y Adecuación de los Servicios Higiénicos del Asilo San Ramón",,2008-01-01,2010-12-31,2012-04-13,,Salud,Medicus Mundi,La Paz
Proyecto Ayuda Humanitaria por las Inundaciones.,,2007-01-01,2007-12-31,2012-04-13,,Sostenibilidad Ambiental,Medicus Mundi,Ixiamas
Proyecto Ayuda Humanitaria por las Inundaciones.,,2009-01-01,2010-12-31,2012-04-13,,Sostenibilidad Ambiental,Medicus Mundi,Ixiamas
Mitigar el impacto de las inundaciones en la Comunidad de Bella Altura y restablecer su Acceso al Agua Potable y Saneamiento Básico,,2009-11-01,2010-02-28,2012-04-13,,Salud,Medicus Mundi,San Buena Ventura
Fortalecimiento de capacidades locales para la preparación y prevención  frente a los riesgos de desastres naturales.,,2006-01-01,2007-12-31,2012-04-13,,Sostenibilidad Ambiental,Medicus Mundi,San Agustín|San Pedro|Colcha
Atención primaria y dermatológica en Jorochito,,2004-01-01,2009-12-31,2012-04-13,,Salud,Medicus Mundi,El Torno
Programa de prevención y control de la enfermedad de Chagas.,,2004-01-01,2008-12-31,2012-04-13,,Salud,Medicus Mundi,Tarvita|Sopachuy|Azurduy|Villar|Alcala
Construcción de un centro de salud en la comunidad Villa Aroma,,2007-01-01,2007-12-31,2012-04-13,,Salud,Medicus Mundi,Villa Aroma
Rehabilitación y equipamiento del centro de salud de Piedras Blancas,,2007-01-01,2007-12-31,2012-04-13,,Salud,Medicus Mundi,Rurrenabaque
Proyecto salud Kallawaya,,2008-01-01,2008-12-31,2012-04-13,,Salud,Medicus Mundi,Apolo|Pelechuco|Chuma|Charazani|Ayata|Aucapata|Curva
Mejora de la Salud para Comunidades Campesinas,,2008-01-01,2008-12-31,2012-04-13,,Salud,Medicus Mundi,Rurrenabaque
"Implementación y Consolidación del Modelo de Salud Intercultural, Familiar y Comunitario con Enfoque de Género en el Distrito de Salud Apolobamba",,2009-01-02,2009-12-31,2012-04-13,,Salud,Medicus Mundi,Pelechuco|Chuma|Ayata|Aucapata|Apolo|Curva|Charazani
Construcción y equipamiento de un centro de salud en la comunidad de Villa Aroma,,2007-01-01,2008-12-31,2012-04-13,,Salud,Medicus Mundi,Rurrenabaque
"Fortalecimiento de la planificación, gestión y prestación de servicios de la red de Atención Primaria",,2007-01-01,2010-12-31,2012-04-13,,Salud,Medicus Mundi,Riberalta
Salud y nutrición fortaleciendo el proceso de implementación del modelo de salud familiar comunitario con interculturalidad y del programa de desnutrición cero,"Salud y nutrición fortaleciendo el proceso de implementación del modelo de salud familiar comunitario con interculturalidad – SAFCI - y del programa de desnutrición cero, y actuando sobre los condicionantes y determinantes de la situación de salud y pobreza, Bolivia",2010-01-01,2014-12-31,2012-04-13,,Salud,Medicus Mundi,Santivañez|Arque|Sacaba|Tapacarí|Bolívar
"Consolidación y extensión del modelo de salud intercultural, familiar y comunitario con enfoque de género en el distrito de salud apolobamba",,2010-01-01,2011-12-31,2012-04-13,,Salud,Medicus Mundi,Curva|Charazani|Pelechuco|Ayata|Chuma|Aucapata|Apolo
Proyecto de Seguridad Alimentaria en EL municipio de Caripuyo,,2004-01-01,2007-12-31,2012-04-13,,Desarrollo Rural y Hambre,Medicus Mundi,Caripuyo
Fortalecimiento de la educación rural y los derechos los niños en áreas zafreras del Departamento de Santa Cruz ( Bolivia),,2009-08-01,2011-07-31,2012-04-16,,Gobernabilidad Democrática,Fundación Promoción Social de la Cultura,General Saavedra
Mujeres Aymaras en las Nuevas Tecnologías,El proyecto busca mejorar tanto las habilidades en el manejo de Tecnologías de Información y Comunicación (TICs) como la capacidad para generar información y presentarla ante medios de comunicación de mujeres lideresas aymaras de seis organizaciones del Departamento de La Paz.,2010-05-01,2012-12-31,2012-04-16,2012-06-06,Género en Desarrollo, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,El Alto
Red de producción y difisión audiovisual para fortalecer la ciudadanía en equidad y diversidad cultural,,2009-03-01,2010-03-01,2012-04-16,,Gobernabilidad Democrática, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,La Paz|El Alto|Tarija|Sucre
Informativos Ciudades Interculturales: medios de comunicación contra la discriminación y el racismo en Bolivia,"El proyecto pretende la creación de nuevos espacios de comunicación e información desde una perspectiva intercultural en las nueve ciudades capitales de departamento de Bolivia para hacer frente a la discriminación y el racismo latente en Bolivia.

El proyecto se desarrolla en Bolivia, pero desde ACSUR en España se hace un trabajo de difusión de los Informativos Ciudades Interculturales para dar a conocer la realidad boliviana desde la perspectiva de las organizaciones sociales",2009-11-01,2011-05-31,2012-04-16,2012-06-07,Gobernabilidad Democrática, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Cobija|Trinidad|Cochabamba|Sucre|Oruro|Santa Cruz|La Paz|Tarija|Cochabamba|El Alto
Apoyo a los Centros Escolares en la Ribera del rio Tapacarí ,,2010-01-01,2010-12-31,2012-04-16,,Educación,Asociación Andaluza por la Solidaridad y la Paz,Tapacarí|Sipe Sipe
"Centro de Salud, 2 Fase. Equipamiento y Atención Sanitaria",,2008-06-01,2011-05-31,2012-04-16,,Salud,Asociación Andaluza por la Solidaridad y la Paz,Tapacarí|Sipe Sipe
Mejoramiento Agrícola Integral Sapanani,,2010-02-01,2011-01-31,2012-04-16,2012-10-23,Desarrollo Rural y Hambre,Asociación Andaluza por la Solidaridad y la Paz,Sacaba
Fortalecimiento de la Participación social y de la estructura productiva,,2010-02-01,2011-07-31,2012-04-16,,Desarrollo Rural y Hambre,Asociación Andaluza por la Solidaridad y la Paz,Sicaya
Construcción y equipamiento del módulo educativo San Antonio de Millipaya,,2010-01-01,2010-12-31,2012-04-18,2012-04-18,Educación,Ayuda en Acción,Sorata
Construcción Centro de Salud Obispo Bosque,,2010-07-01,2010-12-31,2012-04-18,,Salud,Ayuda en Acción,Sorata
Construcción de sistemas de agua potable en las comunidades Nueva Jerusalén y Fortuna,,2010-09-01,2011-03-31,2012-04-18,,Agua y Saneamiento,Ayuda en Acción,San José de Chiquitos
Construcción de dos sistemas de agua potable en las comunidades de Jalsuri y Tacagua,,2009-07-01,2011-06-30,2012-04-18,2012-04-18,Agua y Saneamiento,Ayuda en Acción,Viacha
Compra e instalación de cámara frigorífica para el comedor del Hogar Teresa de los Andes,,2010-06-01,2010-09-30,2012-04-18,,Salud,Ayuda en Acción,Cotoca
Desarrollo de Capacidades y Fortalecimiento Institucional de la Mancomunidad Chuquisaca Centro,,2010-11-01,2011-10-31,2012-04-18,,Gobernabilidad Democrática,Ayuda en Acción,Padilla|Sopachuy|Tomina|Azurduy|Tarvita|Villar|Alcala
"Desarrollo de la base productiva y fortalecimiento al tejido empresarial para el incremento de los ingresos económicos de productores de Anís, Frutilla y Caña de Azúcar de los municipios de Saipina y Comarapa",,2010-03-01,2011-02-28,2012-04-18,,Crecimiento Económico,Ayuda en Acción,Saipina|Comarapa
Construcción de la Unidad Educativa Thajra,,2010-07-01,2011-06-30,2012-04-18,,Educación,Ayuda en Acción,Saipina
"Agua potable para las familias, niñas y niños de las unidades educativas de los municipios de Licoma, Cajuata e Inquisivi del Departamento de La Paz",,2010-09-01,2011-08-31,2012-04-18,,Agua y Saneamiento,Ayuda en Acción,Licoma|Inquisivi
"Programa de reactivación economica para las familias damnificadas en inundaciones de lso muncipios de San Carlos, San Juan y Yapacaní, provincia de Ichilo de Santa Cruz, Bolivia",,2007-01-01,2007-12-31,2012-04-18,,Crecimiento Económico,Ayuda en Acción,San Carlos|Villa Yapacaní|San Juan
"Programa de rehabilitación económica para familias daminifciadas por las inundaciones en los Municipios de Sopachuy, Alcalá y El Villar de la Provincia Tomina del Dpt. De Chuquisaca",,2008-01-01,2008-12-31,2012-04-18,,Crecimiento Económico,Ayuda en Acción,Alcala|Villar|Sopachuy
Fortalecimiento del Pueblo Guaraní para la implementación de las Autonomías Indígenas. ,,2010-10-15,2013-04-14,2012-04-18,2012-10-10,Gobernabilidad Democrática,Fundación Mundubat,Charagua
"Incidencia de la mujer indígena de los cinturones de pobreza del Eje Troncal de Bolivia en agenda política pública.Violencia, salud y participación",,2009-01-01,2009-12-31,2012-04-18,,Gobernabilidad Democrática,Fundación Mundubat,Santa Cruz|Cochabamba|La Paz
Mejora de la producción de la ganadería sostenible comunitaria en la TCO Parapitiguasu,,2009-01-27,2009-10-26,2012-04-18,2012-10-10,Crecimiento Económico,Fundación Mundubat,Boyuibe|Charagua
Plan de prevención en comunidades del norteamazónico boliviano,,2009-10-01,2011-05-31,2012-04-18,2012-10-03,Sostenibilidad Ambiental,Cáritas,Puerto Rico|Porvenir|Reyes|Guayamerín
Plan de prevención de desastres y rehabilitación agropecuaria en la amazonía boliviana,,2007-12-15,2009-06-15,2012-04-18,2012-10-03,Sostenibilidad Ambiental,Cáritas,Reyes|Riberalta|San Borja|Puerto Rico|Cobija|Guayamerín
Las Casas del Saber: una experiencia educativa dirigida a los niños y jóvenes campesinos de los Municipios más pobres de Bolivia,,2009-07-15,2012-07-14,2012-04-18,,Educación,Entreculturas,Colcha|Mojinete
Instituto Politécnico Fe y Alegría: una oferta diversificada y articulada a las demandas de la  población y el mercado del departamento de Tarija,,2008-01-31,2011-01-30,2012-04-18,,Educación,Entreculturas,Tarija
"Implementación del Centro de Formación Permanente para Educadores ""San Ignacio de Loyola""",,2008-10-15,2010-01-15,2012-04-18,2012-04-18,Educación,Entreculturas,Santa Cruz
"Mejoramiento de la educación básica de niños/as, jóvenes y adultos bilingües de Municipios rurales pobres en los departamentos de Potosí y Chuquisaca",,2008-11-17,2011-11-16,2012-04-18,,Educación,Entreculturas,Tarabuco|Caiza D|Tarvita|Sopachuy|Betanzos|Presto
Educación básica por radio en cinco municipios del Depto. De Potosi ,,2008-11-17,2011-05-31,2012-04-18,,Educación,Entreculturas,Puna|Tinquipaya|Tacobamba|Vitichi
"Promoción de la cultura mojeña en el ambito de la formación formal, intracultural, intercultural y plurilingue",,2009-01-01,2009-12-31,2012-04-18,,Educación,Centre D'estudis Amazónics,San Ignacio De Moxos
"Contribuir al mejoramiento del medioambiente a través de acciones que promueven el uso adecuado de la basura orgánica en 4 barrios del municipio de Riberalta, Bolivia. Segunda Fase",,2010-07-01,2011-03-31,2012-04-18,,Salud,Centre D'estudis Amazónics,Riberalta
"Inserción socioeconómica de cuatro grupos de mujeres en situaciones de riesgo, mediante el micro crédito y la  capacitación. Valle Bajo de Cochabamba (Fase II)",,2008-10-01,2009-10-31,2012-04-18,,Crecimiento Económico,Fundación Iberoamericana para el Desarrollo,Quillacollo|Vinto
"Contribución al proceso de integración de la mujer andina a través de prácticas democráticas y fomento al respeto de los derechos ciudadanos, en la perspectiva de reducir las brechas de género ",,2009-03-01,2010-09-30,2012-04-18,,Gobernabilidad Democrática,Fundación Iberoamericana para el Desarrollo,Arque|Tapacarí|Bolívar|Sicaya
Fortalecimiento de prácticas de democráticas incluyentes con cualificación de la participación de mujeres y jóvenes,,2009-12-01,2010-12-31,2012-04-18,,Gobernabilidad Democrática,Fundación Iberoamericana para el Desarrollo,Quillacollo|Vinto
Mejora de la gestión municipal y ejercicio ciudadano en los municipios de Bolívar y Tacopaya del departamento de Cochabamba,,2009-02-01,2010-02-28,2012-04-18,,Gobernabilidad Democrática,Fundación Iberoamericana para el Desarrollo,Bolívar
Mejora de la soberanía alimentaria de 18 comunidades quechuas en dos microcuencas hidrológicas en los municipios de Arque y Tapacarí,,2009-12-01,2011-12-31,2012-04-18,,Desarrollo Rural y Hambre,Fundación Iberoamericana para el Desarrollo,Tapacarí|Arque
Manejo de los recursos naturales y mejoramiento de la producción bovina y especies menores en el Municipio de Camiri – Santa Cruz (Bolivia),,2008-01-01,2008-12-31,2012-04-23,2012-04-23,Crecimiento Económico,Centro de Estudios Rurales y de Agricultura Internacional,Camiri
"Fortalecimiento de la producción agroganadera de las Comunidades de  Aguarati, Pikirenda y Guandare (Bajo Isoso) Bolivia","En las comunidades de Aguarati, Pikirenda y Guandare (Bajo Isoso)
",2007-01-01,2007-12-31,2012-04-23,2012-05-16,Crecimiento Económico,Centro de Estudios Rurales y de Agricultura Internacional,Charagua
"Producción agroganadera sostenible, con equidad de género en la comunidad indígena guaraní de Rancho Viejo, Bajo Isoso-Santa Cruz (Bolivia)",,2009-01-01,2009-12-31,2012-04-23,2012-04-23,Crecimiento Económico,Centro de Estudios Rurales y de Agricultura Internacional,Charagua
"Fortalecimiento de la red de comercialización de productos agropecuarios en la provincia de Cordillera (Santa Cruz, Bolivia) ",,2010-01-01,2010-12-31,2012-04-23,2012-04-23,Crecimiento Económico,Centro de Estudios Rurales y de Agricultura Internacional,Charagua|Cabezas|Camiri|Cuevo
Fortalecimiento de las capacidades productivas para la generación de valor añadido y de la concertación e incidencia política de las familias y organizaciones económicas campesinas de Torotoro para su seguridad alimentaria y  Desarrollo Local,,2010-01-01,2010-12-31,2012-04-23,,Desarrollo Rural y Hambre,Centro de Estudios Rurales y de Agricultura Internacional,Toro Toro
Fortalecer el sistema productivo-organizativo para garantizar el ejercicio de los derechos de productoras/res indígenas del municipio de Calamarca-Bolivia,,2012-01-01,2012-12-31,2012-04-23,,Crecimiento Económico,Centro de Estudios Rurales y de Agricultura Internacional,Calamarca
"Garantizar la dotación de agua para consumo humano y alimentación de familias indigenas vulnerables a la inseguridad alimentaria (VAM), que habitan el comunidades rurales del Sur",,2009-09-01,2011-08-31,2012-04-23,,Agua y Saneamiento,Instituto de Estudios Politicos para America Latina y Africa,Poroma
Mejorar las necesidades básicas en provision de agua en comunidades indigenas de Tacobamaba-Potosi,,2008-09-01,2010-08-31,2012-04-23,,Agua y Saneamiento,Instituto de Estudios Politicos para America Latina y Africa,Tacobamba
Fortalecimiento del sistema público de educación en la periferia de la ciudad de Sucre para la inclusión y acceso equitativo de niños y niñas migrantes,,2009-01-01,2009-12-31,2012-04-23,,Educación,Instituto de Estudios Politicos para America Latina y Africa,Sucre
"Desarrollo pecuario sostenible y promoción de estrategias democráticas e inclusivas para las mujeres, con actuaciones complementarias al programa AYRA",,2007-01-01,2007-12-31,2012-04-23,,Crecimiento Económico,Instituto para la promoción y ayuda al desarrollo,Potosí
"Avanzando hacia el fortalecimiento del Sistema Público de Salud y su articulación con la medicina tradicional en la Provincia de Velasco, Departamento de Santa Cruz de la Sierra. Bolivia",,2010-09-01,2012-09-30,2012-04-23,,Salud,Medicos del Mundo,San Miguel|San Rafael|San Ignacio
Fortalecimiento de la estrategia de apoyo al Sistema de Información Vigilancia Epidemiológica con énfasis en la mortalidad materna e infantil en las Redes de Salud nº11 y 12 del Altiplano Sur del Departamento de La Paz.,,2010-09-01,2011-09-30,2012-04-23,,Salud,Medicos del Mundo,Caquiaviri|Catacora|Charaña|Patacamaya|Sica Sica|Umala|Chacarilla|Santiago de Machaca|Papel Pampa|Santiago de Callapa|Curahuara|Calacoto|Coro Coro|Comanche
Mejora del medio ambiente a través de la recolección y del relleno sanitario de los residuos sólidos urbanos en el Municipio Porco,,2009-06-01,2010-06-30,2012-04-25,,Salud,Paz y Desarrollo,Porco
Mejorado el tejido económico de 275 mujeres campesinas indígenas quechuas participantes en la RED productiva orgánica y agroecológica comercializadora mancomunada (MujeryDEL) con los 11 municipios de la Mancomunidad de Gran Centro Potosí.,,2010-09-01,2011-09-30,2012-04-25,,Desarrollo Rural y Hambre,Paz y Desarrollo,Chaqui|Belén de Urmiri|Tinquipaya|Tacobamba|Caiza D|Betanzos|Yocalla|Potosí|Porco|Puna
"Diversificados los procesos productivos en 7 Municipios de la Mancomunidad Gran Centro Potosí con 450 mujeres campesinas indígenas quechuas, a través de la producción artesanal textil",,2010-01-01,2010-12-31,2012-04-25,,Crecimiento Económico,Paz y Desarrollo,Tacobamba|Porco|Potosí|Puna|Chaqui|Betanzos
Centro de Desarrollo Integral para Adolescentes y Jóvenes (Fase II),,2011-01-01,2012-06-30,2012-04-25,,Educación,Proyecto Solidario,Cercado
Fortalecimiento de la Formación Politcia de mujeres líderes indígenas chiquitanas. ,,2007-01-01,2007-12-31,2012-04-25,,Gobernabilidad Democrática, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
Avanzando hacia la Equidad en los espacios políticos y sociales de Santra Cruz (Bolivia). Fase II ,Incorporar la visión de  la mujer indígena de 9 municipios Chiquitanos en los espacios y procesos de participación política y organizativa,2009-01-01,2009-12-31,2012-04-25,2012-06-11,Gobernabilidad Democrática, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
Fortalecimiento de la Cadena Fruticola en la Mancomunidad de Municipios de los Valles Cruceños,,2007-01-01,2009-12-31,2012-05-02,2012-05-02,Crecimiento Económico,Centro de Iniciativas para la Cooperación Batá,El Trigal|Pucará|Valle Grande|Moromoro|Comarapa|Samaipata
"Apoyo al fortalecimiento de emprendimientos locales y la generación de empleo de sectores no agropecuarios (gastronomía típica, artesanía, micro industria, transformación y turismo) en el área urbana y rural de la provincia Vallegrande",,2009-01-01,2010-12-31,2012-05-02,2012-05-02,Crecimiento Económico,Centro de Iniciativas para la Cooperación Batá,Valle Grande|Pucará|Moromoro
Implementación de una estrategia regional para la reducción de los riesgos climáticos y daños que afectan a la producción de los fruticultores en tres municipios de la provincia de Vallegrande,,2009-01-01,2010-12-31,2012-05-02,,Sostenibilidad Ambiental,Centro de Iniciativas para la Cooperación Batá,Valle Grande|Moromoro|Pucará
Apoyo al Fortalecimiento Integral del Desarrollo Económico Local en el área urbana y rural de la provincia Vallegrande,,2010-01-01,2011-12-31,2012-05-02,,Crecimiento Económico,Centro de Iniciativas para la Cooperación Batá,Valle Grande|Moromoro|Pucará
Fortalecimiento de las organizaciones y los recursos humanos de los actores de la cadena frutícola y diversificación de la producción convencional con integrada y ecológica,,2010-01-01,2012-12-31,2012-05-02,,Crecimiento Económico,Centro de Iniciativas para la Cooperación Batá,El Trigal|Valle Grande|Pucará|Comarapa|Samaipata|Quirusillas|Moromoro
Apoyo a la aplicación de Buenas Prácticas Agrícolas y diversificación de producción frutícola,,2011-01-01,2012-12-31,2012-05-02,,Crecimiento Económico,Centro de Iniciativas para la Cooperación Batá,Pucará|Comarapa|Valle Grande|Samaipata|Moromoro|El Trigal
Mejora de la educación alternativa rural para fortalecer la soberanía alimentaria de comunidades campesinas donde presta sus servicios educativos los CETHAs: Chulumani (Region Yungueña) y CETHA Caracollo (Region del Altiplano).,,2012-01-01,2013-12-31,2012-05-02,2012-05-02,Educación,Centro de Iniciativas para la Cooperación Batá,Chulumani|Caracollo
Fortalecidos 194 emprendimientos no agropecuarios rurales y urbanos en los Valles Cruceños de Bolivia bajo el modelo del desarrollo económico local,,2012-01-01,2014-12-31,2012-05-02,,Crecimiento Económico,Centro de Iniciativas para la Cooperación Batá,Moromoro|Pucará|Gutiérrez|Valle Grande|El Trigal
Saneamiento básico y desarrollo económico local en comunidades quechua del municipio El Choro,"En el  municipio de El Choro, el déficit de agua afecta a la calidad de vida de las familias y la actividad agropecuaria, sustento de las familias rurales de la etnia quechua. Con la participación de 16 comunidades, se propone mejorar el la disponibilidad de agua, su uso y el Desarrollo Económico local con enfoque orgánico y de género, pretendiendo consolidar los avances logrados en agua y vivienda; acrecentar los ingresos familiares derivados de la mejora de ganado, la producción láctea y el cultivo orgánico de quinua, y el Fortalecimiento de las organizaciones de mujeres",2007-03-01,2008-12-31,2012-06-06,,Crecimiento Económico, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,El Choro
